@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
419,26,28,233,3,1,?
722,158,25,397,5,0,?
446,45,13,433,0,0,?
125,9,8,39,0,0,?
128,37,3,30,1,0,?
85,5,9,39,0,3,?
33,4,2,9,0,0,?
430,70,19,257,0,1,?
84,9,1,40,0,0,?
112,14,3,51,0,0,?
53,1,5,5,0,0,?
55,2,4,41,0,0,?
76,11,3,24,0,0,?
107,14,6,39,0,0,?
87,7,7,38,0,0,?
110,10,7,65,0,0,?
122,18,6,61,1,1,?
265,24,15,213,0,0,?
129,10,7,43,0,0,?
61,7,8,10,0,2,?
67,1,5,6,0,0,?
22,6,1,0,0,1,?
47,3,9,6,0,0,?
248,27,7,73,0,7,?
41,8,1,9,0,1,?
98,5,11,33,0,5,?
19,0,1,5,0,0,?
159,31,11,29,0,1,?
18,2,3,0,0,0,?
51,0,5,0,0,0,?
174,19,12,28,1,9,?
149,15,9,17,0,1,?
1013,96,60,324,2,50,?
38,3,2,0,0,0,?
74,8,9,14,0,0,?
12,1,1,0,0,0,?
46,3,3,3,0,0,?
10,0,1,0,0,0,?
209,19,2,36,0,2,?
190,21,8,78,1,10,?
38,1,5,9,0,1,?
113,6,12,33,0,4,?
35,2,4,3,0,0,?
180,18,15,56,0,5,?
53,7,2,15,0,1,?
10,0,2,0,0,0,?
68,6,8,38,0,1,?
88,6,5,25,0,6,?
74,7,6,17,0,1,?
10,0,1,0,0,0,?
85,6,7,13,0,1,?
48,0,5,12,0,2,?
47,6,2,10,0,2,?
116,10,7,47,0,4,?
63,7,4,14,0,6,?
93,14,6,28,0,1,?
16,1,2,0,0,0,?
19,1,2,0,0,0,?
128,19,6,23,0,2,?
7,0,0,0,0,0,?
149,17,10,42,0,5,?
362,45,22,109,0,15,?
236,32,10,121,2,10,?
56,2,4,6,0,0,?
38,0,3,0,0,0,?
1646,203,28,570,3,66,?
40,2,3,3,0,0,?
78,6,4,28,0,2,?
146,10,6,31,0,3,?
32,2,2,12,0,1,?
45,4,2,14,0,2,?
74,7,4,16,2,2,?
36,0,6,0,0,0,?
812,72,20,360,1,40,?
12,0,1,0,0,0,?
47,5,4,6,0,0,?
77,5,3,27,0,5,?
59,7,3,5,0,1,?
112,11,4,40,0,7,?
120,10,5,59,0,9,?
54,4,3,16,0,1,?
78,5,3,30,0,5,?
188,12,4,129,0,6,?
59,1,3,8,0,2,?
58,3,1,19,0,3,?
46,3,3,11,0,1,?
31,1,2,3,0,1,?
81,8,3,20,0,4,?
67,6,3,22,0,2,?
67,6,3,23,0,3,?
83,3,7,6,0,4,?
77,5,3,28,0,4,?
46,3,3,11,0,1,?
47,1,3,11,0,2,?
110,3,9,9,0,1,?
23,0,2,0,0,0,?
45,3,4,6,0,2,?
137,15,4,63,0,12,?
119,14,2,53,1,8,?
209,27,3,85,0,16,?
293,25,6,112,0,26,?
108,8,3,33,0,9,?
532,57,13,284,0,41,?
187,16,6,92,0,13,?
242,12,13,80,0,15,?
199,23,4,78,0,20,?
174,15,2,48,0,15,?
25,0,2,0,0,0,?
47,0,5,1,0,0,?
221,29,13,77,1,10,?
